t,x,y,z
0,0,0.0,9.81
10000,0,22.55677545992307,9.81
20000,0,22.24078929198663,9.81
30000,0,21.942147595417264,9.81
40000,0,21.65959002106257,9.81
50000,0,21.391975365044633,9.81
60000,0,21.138267764076517,9.81
70000,0,20.897524770166129,9.81
80000,0,20.668887012439043,9.81
90000,0,20.451569204682563,9.81
100000,0,20.244852298325611,9.81
110000,0,20.048076613962333,9.81
120000,0,19.860635811779328,9.81
130000,0,19.681971583587934,9.81
140000,0,19.511568967559121,9.81
150000,0,19.348952201968139,9.81
160000,0,19.193681046882009,9.81
170000,0,19.045347513244039,9.81
180000,0,18.9035729476083,9.81
190000,0,18.768005428162429,9.81
200000,0,18.638317433895843,9.81
210000,0,18.514203754025111,9.81
220000,0,18.395379609241324,9.81
230000,0,18.281578960130034,9.81
240000,0,18.172552981341607,9.81
250000,0,18.068068682849507,9.81
260000,0,17.967907661999156,9.81
270000,0,17.87186497208361,9.81
280000,0,17.779748094933925,9.81
290000,0,17.691376006525935,9.81
300000,0,17.606578325914981,9.81
310000,0,17.525194538947808,9.81
320000,0,17.447073289189692,9.81
330000,0,17.37207172936694,9.81
340000,0,17.300054927378106,9.81
350000,0,17.230895321586097,9.81
360000,0,17.164472220681464,9.81
370000,0,17.100671343914996,9.81
380000,0,17.039384397944424,9.81
390000,0,16.980508686934552,9.81
400000,0,16.923946752898178,9.81
410000,0,16.869606043573075,9.81
420000,0,16.817398605403767,9.81
430000,0,16.767240799438841,9.81
440000,0,16.719053038170394,9.81
450000,0,16.672759541533999,9.81
460000,0,16.628288110458861,9.81
470000,0,16.585569916510547,9.81
480000,0,16.544539306305758,9.81
490000,0,16.505147081983427,9.81
500000,0,16.467707192729396,9.81
510000,0,16.43232714311187,9.81
520000,0,16.398946611531787,9.81
530000,0,16.367507004915939,9.81
540000,0,16.33795139535707,9.81
550000,0,16.310224460131764,9.81
560000,0,16.284272424858017,9.81
570000,0,16.260043009573796,9.81
580000,0,16.237485377536505,9.81
590000,0,16.216550086558883,9.81
600000,0,16.197189042712207,9.81
610000,0,16.179355456240799,9.81
620000,0,16.163003799544189,9.81
630000,0,16.148089767094607,9.81
640000,0,16.134570237167363,9.81
650000,0,16.122403235271268,9.81
660000,0,16.111547899174496,9.81
670000,0,16.101964445429346,9.81
680000,0,16.093614137306115,9.81
690000,0,16.086459254053246,9.81
700000,0,16.080463061406416,9.81
710000,0,16.075589783275259,9.81
720000,0,16.071804574540923,9.81
730000,0,16.069073494902785,9.81
740000,0,16.067363483716523,9.81
750000,0,16.06664233577003,9.81
760000,0,16.066878677946946,9.81
770000,0,16.068041946731284,9.81
780000,0,16.070102366509381,9.81
790000,0,16.073030928628544,9.81
800000,0,16.076799371174182,9.81
810000,0,16.081380159429894,9.81
820000,0,16.086746466987012,9.81
830000,0,16.092872157472367,9.81
840000,0,16.099731766864924,9.81
850000,0,16.107300486373781,9.81
860000,0,16.115554145851725,9.81
870000,0,16.124469197719922,9.81
880000,0,16.134022701381092,9.81
890000,0,16.144192308099651,9.81
900000,0,16.154956246328499,9.81
910000,0,16.166293307463594,9.81
920000,0,16.178182832008233,9.81
930000,0,16.190604696130219,9.81
940000,0,16.203539298595924,9.81
950000,0,16.216967548066137,9.81
960000,0,16.230870850739578,9.81
970000,0,16.245231098330496,9.81
980000,0,16.260030656367704,9.81
990000,0,16.275252352803037,9.81
1000000,0,16.290879466917708,9.81
1010000,0,16.306895718515957,9.81
1020000,0,16.323285257395547,9.81
1030000,0,16.340032653085547,9.81
1040000,0,16.357122884842138,9.81
1050000,0,16.374541331893674,9.81
1060000,0,16.392273763926685,9.81
1070000,0,16.410306331804993,9.81
1080000,0,16.42862555851422,9.81
1090000,0,16.447218330324869,9.81
1100000,0,16.46607188816677,9.81
1110000,0,16.485173819208697,9.81
1120000,0,16.504512048636776,9.81
1130000,0,16.524074831625921,9.81
1140000,0,16.543850745498496,9.81
1150000,0,16.563828682064919,9.81
1160000,0,16.583997840141038,9.81
1170000,0,16.604347718237342,9.81
1180000,0,16.624868107415189,9.81
1190000,0,16.645549084305731,9.81
1200000,0,16.666381004287004,9.81
1210000,0,16.68735449481515,9.81
1220000,0,16.708460448905697,9.81
1230000,0,16.729690018761175,9.81
1240000,0,16.751034609541229,9.81
1250000,0,16.772485873271833,9.81
1260000,0,16.794035702890113,9.81
1270000,0,16.815676226421523,9.81
1280000,0,16.837399801286203,9.81
1290000,0,16.859199008731466,9.81
1300000,0,16.881066648387463,9.81
1310000,0,16.902995732943214,9.81
1320000,0,16.924979482940174,9.81
1330000,0,16.947011321680812,9.81
1340000,0,16.969084870249485,9.81
1350000,0,16.991193942643189,9.81
1360000,0,17.013332541009781,9.81
1370000,0,17.035494850991299,9.81
1380000,0,17.057675237170137,9.81
1390000,0,17.079868238615795,9.81
1400000,0,17.102068564530203,9.81
1410000,0,17.124271089989389,9.81
1420000,0,17.146470851779512,9.81
1430000,0,17.168663044325406,9.81
1440000,0,17.190843015709412,9.81
1450000,0,17.213006263779047,9.81
1460000,0,17.235148432341266,9.81
1470000,0,17.257265307441855,9.81
1480000,0,17.279352813728032,9.81
1490000,0,17.301407010892639,9.81
1500000,0,17.323424090198206,9.81
1510000,0,17.345400371079368,9.81
1520000,0,17.367332297821953,9.81
1530000,0,17.389216436317241,9.81
1540000,0,17.411049470889829,9.81
1550000,0,17.432828201197712,9.81
1560000,0,17.454549539203036,9.81
1570000,0,17.47621050621213,9.81
1580000,0,17.497808229983434,9.81
1590000,0,17.519339941901936,9.81
1600000,0,17.540802974218781,9.81
1610000,0,17.562194757354778,9.81
1620000,0,17.583512817266449,9.81
1630000,0,17.60475477287337,9.81
1640000,0,17.625918333545638,9.81
1650000,0,17.647001296650121,9.81
1660000,0,17.668001545154386,9.81
1670000,0,17.68891704528713,9.81
1680000,0,17.709745844253899,9.81
1690000,0,17.730486068006989,9.81
1700000,0,17.751135919068471,9.81
1710000,0,17.771693674405149,9.81
1720000,0,17.792157683354471,9.81
1730000,0,17.812526365600277,9.81
1740000,0,17.83279820919736,9.81
1750000,0,17.852971768643851,9.81
1760000,0,17.873045663000383,9.81
1770000,0,17.893018574055091,9.81
1780000,0,17.912889244533449,9.81
1790000,0,17.932656476352037,9.81
1800000,0,17.952319128915253,9.81
1810000,0,17.971876117454091,9.81
1820000,0,17.991326411406067,9.81
1830000,0,18.010669032835445,9.81
1840000,0,18.029903054892834,9.81
1850000,0,18.049027600313316,9.81
1860000,0,18.068041839952354,9.81
1870000,0,18.086944991358525,9.81
1880000,0,18.105736317382345,9.81
1890000,0,18.124415124820377,9.81
1900000,0,18.142980763093881,9.81
1910000,0,18.161432622961126,9.81
1920000,0,18.179770135262746,9.81
1930000,0,18.197992769699319,9.81
1940000,0,18.216100033640476,9.81
1950000,0,18.234091470964806,9.81
1960000,0,18.251966660929895,9.81
1970000,0,18.269725217071727,9.81
1980000,0,18.287366786132964,9.81
1990000,0,18.304891047019154,9.81
2000000,0,18.322297709782518,9.81
2010000,0,18.339586514632487,9.81
2020000,0,18.356757230972406,9.81
2030000,0,18.37380965646188,9.81
2040000,0,18.390743616104011,9.81
2050000,0,18.407558961357104,9.81
2060000,0,18.424255569270134,9.81
2070000,0,18.440833341641451,9.81
2080000,0,18.457292204200236,9.81
2090000,0,18.47363210581004,9.81
2100000,0,18.489853017694021,9.81
2110000,0,18.505954932681195,9.81
2120000,0,18.521937864473312,9.81
2130000,0,18.537801846931877,9.81
2140000,0,18.553546933384663,9.81
2150000,0,18.569173195951432,9.81
2160000,0,18.58468072488828,9.81
2170000,0,18.600069627950162,9.81
2180000,0,18.61534002977119,9.81
2190000,0,18.630492071262179,9.81
2200000,0,18.645525909025146,9.81
2210000,0,18.66044171478417,9.81
2220000,0,18.675239674832401,9.81
2230000,0,18.689919989494555,9.81
2240000,0,18.704482872604817,9.81
2250000,0,18.718928550999451,9.81
2260000,0,18.733257264024001,9.81
2270000,0,18.747469263054533,9.81
2280000,0,18.761564811032649,9.81
2290000,0,18.775544182013885,9.81
2300000,0,18.789407660729182,9.81
2310000,0,18.803155542159043,9.81
2320000,0,18.816788131120127,9.81
2330000,0,18.830305741863814,9.81
2340000,0,18.843708697686612,9.81
2350000,0,18.856997330551966,9.81
2360000,0,18.870171980723207,9.81
2370000,0,18.883232996407351,9.81
2380000,0,18.896180733409484,9.81
2390000,0,18.909015554797399,9.81
2400000,0,18.921737830576287,9.81
2410000,0,18.934347937373118,9.81
2420000,0,18.946846258130567,9.81
2430000,0,18.959233181810134,9.81
2440000,0,18.971509103104275,9.81
2450000,0,18.98367442215724,9.81
2460000,0,18.995729544294466,9.81
2470000,0,19.007674879760248,9.81
2480000,0,19.01951084346338,9.81
2490000,0,19.031237854730769,9.81
2500000,0,19.04285633706855,9.81
2510000,0,19.054366717930701,9.81
2520000,0,19.065769428494811,9.81
2530000,0,19.077064903444906,9.81
2540000,0,19.088253580761059,9.81
2550000,0,19.09933590151568,9.81
2560000,0,19.1103123096762,9.81
2570000,0,19.121183251914086,9.81
2580000,0,19.131949177419905,9.81
2590000,0,19.14261053772433,9.81
2600000,0,19.15316778652495,9.81
2610000,0,19.163621379518617,9.81
2620000,0,19.173971774239284,9.81
2630000,0,19.184219429901113,9.81
2640000,0,19.194364807246732,9.81
2650000,0,19.204408368400518,9.81
2660000,0,19.214350576726677,9.81
2670000,0,19.224191896692105,9.81
2680000,0,19.233932793733786,9.81
2690000,0,19.243573734130702,9.81
2700000,0,19.253115184880009,9.81
2710000,0,19.262557613577446,9.81
2720000,0,19.27190148830185,9.81
2730000,0,19.281147277503592,9.81
2740000,0,19.290295449896917,9.81
2750000,0,19.299346474355964,9.81
2760000,0,19.308300819814484,9.81
2770000,0,19.317158955169056,9.81
2780000,0,19.325921349185723,9.81
2790000,0,19.334588470409951,9.81
2800000,0,19.343160787079849,9.81
2810000,0,19.351638767042505,9.81
2820000,0,19.360022877673334,9.81
2830000,0,19.368313585798479,9.81
2840000,0,19.376511357619929,9.81
2850000,0,19.384616658643569,9.81
2860000,0,19.392629953609831,9.81
2870000,0,19.400551706427017,9.81
2880000,0,19.408382380107142,9.81
2890000,0,19.416122436704274,9.81
2900000,0,19.423772337255201,9.81
2910000,0,19.431332541722508,9.81
2920000,0,19.438803508939852,9.81
2930000,0,19.446185696559446,9.81
2940000,0,19.453479561001636,9.81
2950000,0,19.460685557406556,9.81
2960000,0,19.467804139587798,9.81
2970000,0,19.474835759987965,9.81
2980000,0,19.481780869636143,9.81
2990000,0,19.488639918107157,9.81
3000000,0,19.495413353482618,9.81
3010000,0,19.502101622313681,9.81
3020000,0,19.508705169585422,9.81
3030000,0,19.51522443868285,9.81
3040000,0,19.521659871358487,9.81
3050000,0,19.52801190770143,9.81
3060000,0,19.53428098610787,9.81
3070000,0,19.540467543253069,9.81
3080000,0,19.546572014064665,9.81
3090000,0,19.552594831697316,9.81
3100000,0,19.558536427508656,9.81
3110000,0,19.564397231036462,9.81
3120000,0,19.570177669977067,9.81
3130000,0,19.575878170164913,9.81
3140000,0,19.581499155553232,9.81
3150000,0,19.587041048195868,9.81
3160000,0,19.592504268230112,9.81
3170000,0,19.597889233860595,9.81
3180000,0,19.60319636134416,9.81
3190000,0,19.608426064975699,9.81
3200000,0,19.613578757074915,9.81
3210000,0,19.618654847974035,9.81
3220000,0,19.623654746006316,9.81
3230000,0,19.628578857495452,9.81
3240000,0,19.633427586745764,9.81
3250000,0,19.638201336033223,9.81
3260000,0,19.642900505597179,9.81
3270000,0,19.647525493632877,9.81
3280000,0,19.652076696284645,9.81
3290000,0,19.656554507639829,9.81
