t_usec,pod_position,pod_velocity,pod_acceleration,he_height,F_aero_x,F_aero_y,F_aero_z,F_brakes_x,F_brakes_y,F_brakes_z,F_gimbals_x,F_gimbals_y,F_gimbals_z,F_hover_engines_x,F_hover_engines_y,F_hover_engines_z,F_lateral_stability_x,F_lateral_stability_y,F_lateral_stability_z,F_landing_gear_x,F_landing_gear_y,F_landing_gear_z
10000,0.0013763631136738523,0.24958230529361244,22.524357709429001,0.006,-0.003485422023582463,0,0,-5.4662904290886321,0,0,0.0,0.0,0.0,-111.00275526926156,0,102.40349035417157,-0.0022705794758418343,0,0,0.0,0.0,0.0
11000,0.0016371914818535806,0.27207443106584406,22.492125772231596,0.006,-0.004211235599840513,0,0,-5.9869106463253594,0,0,0.0,0.0,0.0,-121.76236201396289,0,112.55878553583524,-0.0024958230529361245,0,0,0.0,0.0,0.0
12000,0.0019204959520214111,0.29453450926981684,22.460078203972788,0.006,-0.0050044622167735213,0,0,-6.5029979390849455,0,0,0.0,0.0,0.0,-132.46190546391256,0,122.69863655095297,-0.0027207443106584406,0,0,0.0,0.0,0.0
13000,0.0022262445680786835,0.31696272284472804,22.428213574911183,0.006,-0.0058648151471520794,0,0,-7.0145992930221581,0,0,0.0,0.0,0.0,-143.10183932782454,0,132.82304864034202,-0.0029453450926981684,0,0,0.0,0.0,0.0
14000,0.0025544055561584379,0.3393592533147809,22.396530470052848,0.006,-0.0067920102602815162,0,0,-7.521761103432719,0,0,0.0,0.0,0.0,-153.68261274058216,0,142.93202710938161,-0.0031696272284472806,0,0,0.0,0.0,0.0
15000,0.0029049473232176993,0.3617242808037418,22.365027488960894,0.006,-0.0077857659930643973,0,0,-8.0245291840726125,0,0,0.0,0.0,0.0,-164.20467032108724,0,153.0255773292084,-0.0033935925331478088,0,0,0.0,0.0,0.0
16000,0.003277838455644225,0.38405798404930985,22.333703245568039,0.006,-0.0088458033214585986,0,0,-8.5229487758239788,0,0,0.0,0.0,0.0,-174.66845222923297,0,163.10370473788063,-0.0036172428080374179,0,0,0.0,0.0,0.0
17000,0.0036730477178775309,0.40636054041730185,22.302556367992015,0.006,-0.009971845732324517,0,0,-9.0170645552108901,0,0,0.0,0.0,0.0,-185.07439422201159,0,173.16641484151023,-0.0038405798404930985,0,0,0.0,0.0,0.0
18000,0.0040905440510440099,0.42863212591565575,22.271585498353879,0.006,-0.011163619195655162,0,0,-9.506920642767767,0,0,0.0,0.0,0.0,-195.42292770877467,0,183.21371321536424,-0.0040636054041730185,0,0,0.0,0.0,0.0
19000,0.0045302965716059653,0.45087291520825484,22.240789292599086,0.006,-0.012420852137182914,0,0,-9.9925606112635474,0,0,0.0,0.0,0.0,-205.7144798056589,0,193.24560550493521,-0.0042863212591565574,0,0,0.0,0.0,0.0
20000,0.0049922745700243807,0.47308308162857615,22.210166420321308,0.006,-0.013743275411356925,0,0,-10.474027493784279,0,0,0.0,0.0,0.0,-215.94947338919508,0,203.2620974269818,-0.0045087291520825483,0,0,0.0,0.0,0.0
21000,0.0054764475094352515,0.49526279719316507,22.179715564588918,0.006,-0.015130622274685207,0,0,-10.951363791677011,0,0,0.0,0.0,0.0,-226.12832714911022,0,213.26319477053914,-0.0047308308162857613,0,0,0.0,0.0,0.0
22000,0.005982785024339304,0.51741223261493929,22.149435421774196,0.006,-0.016582628359435549,0,0,-11.424611482357689,0,0,0.0,0.0,0.0,-236.25145564034321,0,223.24890339790019,-0.0049526279719316509,0,0,0.0,0.0,0.0
23000,0.006511256919304936,0.5395315573163243,22.119324701385029,0.006,-0.01809903164768957,0,0,-11.893812026985678,0,0,0.0,0.0,0.0,-246.31926933427971,0,233.21922924556813,-0.0051741223261493928,0,0,0.0,0.0,0.0
24000,0.0070618331676842103,0.56162093944222358,22.089382125899277,0.006,-0.019679572445744267,0,0,-12.359006378007534,0,0,0.0,0.0,0.0,-256.33217466922656,0,243.17417832517975,-0.0053953155731632429,0,0,0.0,0.0,0.0
25000,0.0076344839103417344,0.58368054587282514,22.059606430601534,0.006,-0.021323993358855532,0,0,-12.820234986572631,0,0,0.0,0.0,0.0,-266.29057410013775,0,253.11375672440164,-0.0056162093944222358,0,0,0.0,0.0,0.0
26000,0.0082291794543962703,0.60571054223624754,22.029996363422427,0.006,-0.023032039266318242,0,0,-13.277537809822974,0,0,0.0,0.0,0.0,-276.19486614760132,0,263.03797060779755,-0.0058368054587282512,0,0,0.0,0.0,0.0
27000,0.0088458902719749082,0.62771109292102789,22.000550684780336,0.006,-0.024803457296877583,0,0,-13.730954318059796,0,0,0.0,0.0,0.0,-286.04544544610314,0,272.94682621766913,-0.0060571054223624759,0,0,0.0,0.0,0.0
28000,0.0094845869989796487,0.64968236108845334,21.971268167425418,0.006,-0.026637996804466404,0,0,-14.180523501789251,0,0,0.0,0.0,0.0,-295.84270279158051,0,282.84032987487001,-0.0062771109292102788,0,0,0.0,0.0,0.0
29000,0.010145240433866245,0.67162450868473944,21.942147596286059,0.006,-0.028535409344263466,0,0,-14.626283878649463,0,0,0.0,0.0,0.0,-305.58702518827459,0,292.71848797959228,-0.0064968236108845336,0,0,0.0,0.0,0.0
30000,0.010827821536435142,0.69353769645305696,21.91318776831756,0.006,-0.030495448649067544,0,0,-15.068273500221391,0,0,0.0,0.0,0.0,-315.27879589489726,0,302.5813070121277,-0.0067162450868473948,0,0,0.0,0.0,0.0
31000,0.011532301426634375,0.71542208394541007,21.884387492353088,0.006,-0.032517870605982456,0,0,-15.506529958725503,0,0,0.0,0.0,0.0,-324.91839447012148,0,312.42879353360303,-0.00693537696453057,0,0,0.0,0.0,0.0
32000,0.012258651383374264,0.73727782953436694,21.855745588956889,0.006,-0.034602433233408197,0,0,-15.941090393606661,0,0,0.0,0.0,0.0,-334.50619681740994,0,322.26095418668967,-0.007154220839454101,0,0,0.0,0.0,0.0
33000,0.01300684284335377,0.75910509042464647,21.827260890279568,0.006,-0.036748896658333322,0,0,-16.37199149800918,0,0,0.0,0.0,0.0,-344.04257522918743,0,332.07779569628826,-0.0073727782953436696,0,0,0.0,0.0,0.0
34000,0.013776847399898375,0.78090402266456216,21.798932239915665,0.006,-0.038957023093923952,0,0,-16.799269525144279,0,0,0.0,0.0,0.0,-353.52789843037453,0,341.87932487018912,-0.0075910509042464653,0,0,0.0,0.0,0.0
35000,0.014568636801809318,0.80267478115732538,21.770758492763179,0.006,-0.04122657681740495,0,0,-17.222960294551864,0,0,0.0,0.0,0.0,-362.96253162129108,0,351.66554859970734,-0.0078090402266456221,0,0,0.0,0.0,0.0
36000,0.015382182952224085,0.82441751967221066,21.742738514885268,0.006,-0.043557324148228355,0,0,-17.643099198258724,0,0,0.0,0.0,0.0,-372.34683651993726,0,361.43647386029556,-0.0080267478115732538,0,0,0.0,0.0,0.0
37000,0.016217457907487982,0.84613239085558456,21.714871183373926,0.006,-0.045949033426525183,0,0,-18.059721206835043,0,0,0.0,0.0,0.0,-381.68117140366684,0,371.19210771213125,-0.0082441751967221068,0,0,0.0,0.0,0.0
