t_usec,height
1968000,28512
1972000,28524
1976000,28536
1980000,28548
1984000,28560
1988000,28571
1992000,28583
1996000,28595
2000000,28607
2004000,28619
2008000,28630
2012000,28642
2016000,28654
2020000,28665
2024000,28677
2028000,28689
2032000,28700
2036000,28712
2040000,28723
2044000,28735
2048000,28746
2052000,28758
2056000,28769
2060000,28781
2064000,28792
2068000,28804
2072000,28815
2076000,28826
2080000,28838
2084000,28849
2088000,28860
2092000,28872
2096000,28883
2100000,28894
2104000,28905
2108000,28917
2112000,28928
2116000,28939
2120000,28950
2124000,28961
2128000,28972
2132000,28983
2136000,28995
2140000,29006
2144000,29017
2148000,29028
2152000,29039
2156000,29050
2160000,29060
2164000,29071
2168000,29082
2172000,29093
2176000,29104
2180000,29115
2184000,29126
2188000,29136
2192000,29147
2196000,29158
2200000,29169
2204000,29179
2208000,29190
2212000,29201
2216000,29211
2220000,29222
2224000,29233
2228000,29243
2232000,29254
2236000,29264
2240000,29275
2244000,29285
2248000,29296
2252000,29306
2256000,29317
2260000,29327
2264000,29338
2268000,29348
2272000,29358
2276000,29369
2280000,29379
2284000,29389
2288000,29400
2292000,29410
2296000,29420
2300000,29430
2304000,29441
2308000,29451
2312000,29461
2316000,29471
2320000,29481
2324000,29491
2328000,29501
2332000,29511
2336000,29521
2340000,29531
2344000,29542
2348000,29551
2352000,29561
2356000,29571
2360000,29581
2364000,29591
2368000,29601
2372000,29611
2376000,29621
2380000,29631
2384000,29640
2388000,29650
2392000,29660
2396000,29670
2400000,29679
2404000,29689
2408000,29699
2412000,29709
2416000,29718
2420000,29728
2424000,29737
2428000,29747
2432000,29757
2436000,29766
2440000,29776
2444000,29785
2448000,29795
2452000,29804
2456000,29814
2460000,29823
2464000,29833
2468000,29842
2472000,29851
2476000,29861
2480000,29870
2484000,29879
2488000,29889
2492000,29898
2496000,29907
2500000,29916
2504000,29926
2508000,29935
2512000,29944
2516000,29953
2520000,29962
2524000,29972
2528000,29981
2532000,29990
2536000,29999
2540000,30008
2544000,30017
2548000,30026
2552000,30035
2556000,30044
2560000,30053
2564000,30062
2568000,30071
2572000,30080
2576000,30089
2580000,30097
2584000,30106
2588000,30115
2592000,30124
2596000,30133
2600000,30142
2604000,30150
2608000,30159
2612000,30168
2616000,30177
2620000,30185
2624000,30194
2628000,30203
2632000,30211
2636000,30220
2640000,30228
2644000,30237
2648000,30246
2652000,30254
2656000,30263
2660000,30271
2664000,30280
2668000,30288
2672000,30297
2676000,30305
2680000,30313
2684000,30322
2688000,30330
2692000,30339
2696000,30347
2700000,30355
2704000,30364
2708000,30372
2712000,30380
2716000,30389
2720000,30397
2724000,30405
2728000,30413
2732000,30421
2736000,30430
2740000,30438
2744000,30446
2748000,30454
2752000,30462
2756000,30470
2760000,30478
2764000,30486
2768000,30495
2772000,30503
2776000,30511
2780000,30519
2784000,30527
2788000,30534
2792000,30542
2796000,30550
2800000,30558
2804000,30566
2808000,30574
2812000,30582
2816000,30590
2820000,30598
2824000,30605
2828000,30613
2832000,30621
2836000,30629
2840000,30637
2844000,30644
