t_usec,height
0,26336
4000,26336
4000,26336
4000,26336
8000,26336
8000,26336
8000,26336
12000,26336
12000,26336
12000,26336
16000,26336
16000,26336
16000,26336
20000,26336
20000,26336
20000,26336
24000,26336
24000,26336
24000,26336
28000,26336
28000,26336
28000,26336
32000,26336
32000,26336
32000,26336
36000,26336
36000,26336
36000,26336
40000,26336
40000,26336
40000,26336
44000,26336
44000,26336
44000,26336
48000,26336
48000,26336
48000,26336
52000,26336
52000,26336
52000,26336
56000,26336
56000,26336
56000,26336
60000,26336
60000,26336
60000,26336
64000,26336
64000,26336
64000,26336
68000,26336
68000,26336
68000,26336
72000,26336
72000,26336
72000,26336
76000,26336
76000,26336
76000,26336
80000,26336
80000,26336
80000,26336
84000,26336
84000,26336
84000,26336
88000,26336
88000,26336
88000,26336
92000,26336
92000,26336
92000,26336
96000,26336
96000,26336
96000,26336
100000,26336
100000,26336
100000,26336
104000,26336
104000,26336
104000,26336
108000,26336
108000,26336
108000,26336
112000,26336
112000,26336
112000,26336
116000,26336
116000,26336
116000,26336
120000,26336
120000,26336
120000,26336
124000,26336
124000,26336
124000,26336
128000,26336
128000,26336
128000,26336
132000,26336
132000,26336
132000,26336
136000,26336
136000,26336
136000,26336
140000,26336
140000,26336
140000,26336
144000,26336
144000,26336
144000,26336
148000,26336
148000,26336
148000,26336
152000,26336
152000,26336
152000,26336
156000,26336
156000,26336
156000,26336
160000,26336
160000,26336
160000,26336
164000,26336
164000,26336
164000,26336
168000,26336
168000,26336
168000,26336
172000,26336
172000,26336
172000,26336
176000,26336
176000,26336
176000,26336
180000,26336
180000,26336
180000,26336
184000,26336
184000,26336
184000,26336
188000,26336
188000,26336
188000,26336
192000,26336
192000,26336
192000,26336
196000,26336
196000,26336
196000,26336
200000,26336
200000,26336
200000,26336
204000,26336
204000,26336
204000,26336
208000,26336
208000,26336
208000,26336
212000,26336
212000,26336
212000,26336
216000,26336
216000,26336
216000,26336
220000,26336
220000,26336
220000,26336
224000,26336
224000,26336
224000,26336
228000,26336
228000,26336
228000,26336
232000,26336
232000,26336
232000,26336
236000,26336
236000,26336
236000,26336
240000,26336
240000,26336
240000,26336
244000,26336
244000,26336
244000,26336
248000,26336
248000,26336
248000,26336
252000,26336
252000,26336
252000,26336
256000,26336
256000,26336
256000,26336
260000,26336
260000,26336
260000,26336
264000,26336
264000,26336
264000,26336
268000,26336
268000,26336
268000,26336
272000,26336
272000,26336
272000,26336
276000,26336
276000,26336
276000,26336
280000,26336
280000,26336
280000,26336
284000,26336
284000,26336
284000,26336
288000,26336
288000,26336
288000,26336
292000,26336
292000,26336
292000,26336
296000,26336
296000,26336
296000,26336
300000,26336
300000,26336
300000,26336
304000,26336
304000,26336
304000,26336
308000,26336
308000,26336
308000,26336
312000,26336
312000,26336
312000,26336
316000,26336
316000,26336
316000,26336
320000,26336
320000,26336
320000,26336
324000,26336
324000,26336
324000,26336
328000,26336
328000,26336
328000,26336
332000,26336
332000,26336
332000,26336
336000,26336
336000,26336
336000,26336
340000,26336
340000,26336
340000,26336
344000,26336
344000,26336
344000,26336
348000,26336
348000,26336
348000,26336
352000,26336
352000,26336
352000,26336
356000,26336
356000,26336
356000,26336
360000,26336
360000,26336
360000,26336
364000,26336
364000,26336
364000,26336
368000,26336
368000,26336
368000,26336
372000,26336
372000,26336
372000,26336
376000,26336
376000,26336
376000,26336
380000,26336
380000,26336
380000,26336
384000,26336
384000,26336
384000,26336
388000,26336
388000,26336
388000,26336
392000,26336
392000,26336
392000,26336
396000,26336
396000,26336
396000,26336
400000,26336
400000,26336
400000,26336
404000,26336
404000,26336
404000,26336
408000,26336
408000,26336
408000,26336
412000,26336
412000,26336
412000,26336
416000,26336
416000,26336
416000,26336
420000,26336
420000,26336
420000,26336
424000,26336
424000,26336
424000,26336
428000,26336
428000,26336
428000,26336
432000,26336
432000,26336
432000,26336
436000,26336
436000,26336
436000,26336
440000,26336
440000,26336
440000,26336
444000,26336
444000,26336
444000,26336
448000,26336
448000,26336
448000,26336
452000,26336
452000,26336
452000,26336
456000,26336
456000,26336
456000,26336
460000,26336
460000,26336
460000,26336
464000,26336
464000,26336
464000,26336
468000,26336
468000,26336
468000,26336
472000,26336
472000,26336
472000,26336
476000,26336
476000,26336
476000,26336
480000,26336
480000,26336
480000,26336
484000,26336
484000,26336
484000,26336
488000,26336
488000,26336
488000,26336
492000,26336
492000,26336
492000,26336
496000,26337
496000,26337
496000,26337
500000,26337
500000,26337
500000,26337
504000,26338
504000,26338
504000,26338
508000,26339
508000,26339
508000,26339
512000,26340
512000,26340
512000,26340
516000,26341
516000,26341
516000,26341
520000,26343
520000,26343
520000,26343
524000,26344
524000,26344
524000,26344
528000,26346
528000,26346
528000,26346
532000,26348
532000,26348
532000,26348
536000,26351
536000,26351
536000,26351
540000,26353
540000,26353
540000,26353
544000,26355
544000,26355
544000,26355
548000,26358
548000,26358
548000,26358
552000,26361
552000,26361
552000,26361
556000,26364
556000,26364
556000,26364
560000,26367
560000,26367
560000,26367
564000,26371
564000,26371
564000,26371
568000,26374
568000,26374
568000,26374
572000,26378
572000,26378
572000,26378
576000,26382
576000,26382
576000,26382
580000,26386
580000,26386
580000,26386
584000,26390
584000,26390
584000,26390
588000,26395
588000,26395
588000,26395
592000,26399
592000,26399
592000,26399
596000,26404
596000,26404
